# Mapping of expected xml:ids to actual xml:ids
# Format: expected_id,actual_id
subsubsec-reciprocals-using-division,subsubsec-reciprocals-using-division
subsubsec-reciprocals-using-tables-and-calculators,subsubsec-reciprocals-using-tables-and-calculators
subsubsec-relative-speeds-of-objects-moving-in-different-directions,subsubsec-relative-speeds-of-objects-moving-in-different-directions
subsubsec-relative-speeds-of-objects-moving-in-the-same-direction,subsubsec-relative-speeds-of-objects-moving-in-the-same-direction
subsubsec-representing-vectors-geometrically,subsubsec-representing-vectors-geometrically
subsubsec-rotational-symmetry-of-plane-figures,subsubsec-rotational-symmetry-of-plane-figures
subsubsec-rotational-symmetry-of-solids,subsubsec-rotational-symmetry-of-solids
subsubsec-solving-quadratic-equations,subsubsec-solving-quadratic-equations
subsubsec-sources-of-data,subsubsec-sources-of-data
subsubsec-special-angles-30-and-60-degrees,subsubsec-special-angles-30-and-60-degrees
subsubsec-translating-vectors,subsubsec-translating-vectors
subsubsec-using-reciprocals,subsubsec-using-reciprocals
subsubsec-using-two-sides-and-an-angle,subsubsec-using-two-sides-and-an-angle
subsubsec-volume-scale-factors,subsubsec-volume-scale-factors
subsubsec-zero-and-negative-indices,subsubsec-zero-and-negative-indices
